epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.561,1.45923,1.63354,1.26217,0.66978,0.47589,0.49401,0.2482,1.49145,1.26422,1.265,0.00332633,0.00332633,0.00332633
2,583.859,1.41407,1.30575,1.23937,0.64955,0.45028,0.473,0.24211,1.51723,1.39361,1.33917,0.0065278,0.0065278,0.0065278
3,859.359,1.46441,1.32421,1.27337,0.57488,0.40591,0.42647,0.20096,1.77856,1.6562,1.54751,0.00959727,0.00959727,0.00959727
4,1132.27,1.50512,1.34916,1.30526,0.62872,0.46496,0.50467,0.24833,1.67977,1.36605,1.46626,0.009406,0.009406,0.009406
5,1407.42,1.45403,1.28187,1.28401,0.65882,0.49841,0.54062,0.27835,1.58069,1.29678,1.39012,0.009208,0.009208,0.009208
6,1681.18,1.41395,1.23104,1.26482,0.68779,0.46642,0.51879,0.27403,1.5666,1.29212,1.37944,0.00901,0.00901,0.00901
7,1955.26,1.38363,1.19669,1.25056,0.71692,0.49634,0.55478,0.3068,1.50134,1.16644,1.3385,0.008812,0.008812,0.008812
8,2228.65,1.35175,1.15032,1.23087,0.70218,0.54606,0.60133,0.32275,1.45624,1.08612,1.30851,0.008614,0.008614,0.008614
9,2499.9,1.33807,1.14009,1.22621,0.72452,0.53117,0.60191,0.33254,1.42309,1.07704,1.29386,0.008416,0.008416,0.008416
10,2770.93,1.31628,1.11407,1.21254,0.7346,0.54033,0.61036,0.33858,1.427,1.06573,1.28368,0.008218,0.008218,0.008218
11,3043.62,1.2967,1.09239,1.20429,0.7521,0.5561,0.6276,0.35335,1.39184,0.99741,1.28007,0.00802,0.00802,0.00802
12,3314.49,1.28287,1.07314,1.19679,0.75548,0.5303,0.61365,0.34916,1.40175,1.03519,1.26437,0.007822,0.007822,0.007822
13,3583.32,1.27139,1.06001,1.18763,0.76834,0.56538,0.64838,0.36641,1.36981,1.00131,1.2584,0.007624,0.007624,0.007624
14,3851.78,1.26304,1.04229,1.18083,0.75517,0.57233,0.65057,0.3738,1.34559,0.97172,1.23893,0.007426,0.007426,0.007426
15,4118.99,1.2444,1.03177,1.17525,0.76502,0.56886,0.64413,0.37184,1.35334,0.96558,1.23828,0.007228,0.007228,0.007228
16,4389,1.23567,1.0185,1.16885,0.76148,0.58548,0.65703,0.37821,1.33609,0.93917,1.22818,0.00703,0.00703,0.00703
17,4660,1.22162,1.00094,1.16253,0.78374,0.56379,0.65373,0.38351,1.33506,0.9682,1.23711,0.006832,0.006832,0.006832
18,4929.48,1.20747,0.99179,1.1579,0.77442,0.57356,0.65526,0.38391,1.32136,0.93992,1.22321,0.006634,0.006634,0.006634
19,5199.62,1.20526,0.99019,1.15658,0.77565,0.58977,0.6752,0.39604,1.30547,0.92364,1.2113,0.006436,0.006436,0.006436
20,5468.86,1.19348,0.97362,1.14708,0.78008,0.58499,0.67535,0.39792,1.32874,0.93098,1.22722,0.006238,0.006238,0.006238
21,5738.36,1.18746,0.96489,1.14322,0.77128,0.58912,0.66894,0.39809,1.29081,0.90356,1.2012,0.00604,0.00604,0.00604
22,6009.7,1.1811,0.96048,1.14201,0.78818,0.58987,0.67855,0.40531,1.28322,0.88207,1.1967,0.005842,0.005842,0.005842
23,6278.97,1.1722,0.94861,1.13343,0.80067,0.59409,0.68666,0.41144,1.27906,0.86691,1.19447,0.005644,0.005644,0.005644
24,6548.06,1.16317,0.94065,1.13211,0.78282,0.6046,0.69029,0.41448,1.26977,0.8676,1.1864,0.005446,0.005446,0.005446
25,6816.01,1.15028,0.92385,1.12453,0.79322,0.60455,0.69254,0.41665,1.26947,0.86011,1.18726,0.005248,0.005248,0.005248
26,7085.58,1.14703,0.92083,1.12354,0.79606,0.6121,0.69946,0.42331,1.26172,0.85508,1.18043,0.00505,0.00505,0.00505
27,7359.02,1.14146,0.91113,1.11846,0.78736,0.62038,0.70207,0.42414,1.25224,0.83741,1.17419,0.004852,0.004852,0.004852
28,7628.77,1.13504,0.90516,1.11487,0.79974,0.61989,0.70922,0.42809,1.24943,0.82852,1.17434,0.004654,0.004654,0.004654
29,7899.44,1.12391,0.89794,1.11326,0.80164,0.62138,0.70624,0.43129,1.23779,0.82929,1.16618,0.004456,0.004456,0.004456
30,8171.46,1.11824,0.88623,1.10707,0.79919,0.62089,0.70656,0.43276,1.23784,0.82477,1.16255,0.004258,0.004258,0.004258
