epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.311,1.49336,1.50784,1.28247,0.62438,0.43415,0.44453,0.2092,1.73535,1.49291,1.49646,0.000665266,0.000665266,0.000665266
2,626.259,1.51252,1.35431,1.31657,0.50369,0.31788,0.32865,0.15468,1.92092,1.84179,1.69931,0.001266,0.001266,0.001266
3,935.096,1.4865,1.31353,1.30757,0.60503,0.45056,0.47838,0.23573,1.68079,1.42803,1.47835,0.00180074,0.00180074,0.00180074
4,1244.47,1.45933,1.2776,1.29287,0.68233,0.48565,0.53709,0.27609,1.60345,1.24785,1.39957,0.001703,0.001703,0.001703
5,1553.64,1.4124,1.22046,1.27119,0.67736,0.50647,0.55867,0.29713,1.52491,1.22094,1.36205,0.001604,0.001604,0.001604
6,1860.45,1.37351,1.17684,1.2505,0.67459,0.51612,0.56278,0.3055,1.51183,1.12594,1.33665,0.001505,0.001505,0.001505
7,2167.87,1.33979,1.14303,1.23359,0.74316,0.50553,0.57579,0.32289,1.44573,1.11839,1.29545,0.001406,0.001406,0.001406
8,2482.76,1.30839,1.10103,1.2137,0.72206,0.54578,0.61113,0.34189,1.43656,1.04489,1.29789,0.001307,0.001307,0.001307
9,2800.16,1.29369,1.08931,1.2077,0.73363,0.53846,0.61542,0.34672,1.40992,1.03628,1.27137,0.001208,0.001208,0.001208
10,3120.49,1.27042,1.06106,1.19307,0.75507,0.53171,0.60689,0.34604,1.41729,1.04263,1.28334,0.001109,0.001109,0.001109
11,3420.33,1.25305,1.02329,1.19634,0.74854,0.56116,0.64077,0.36199,1.36972,0.98282,1.24949,0.00101,0.00101,0.00101
12,3716.41,1.23037,0.99758,1.1853,0.7442,0.57203,0.64086,0.36471,1.3685,0.97646,1.24838,0.000911,0.000911,0.000911
13,4019.56,1.20928,0.97021,1.17386,0.75069,0.58574,0.65311,0.37565,1.34112,0.94505,1.23026,0.000812,0.000812,0.000812
14,4331.35,1.18919,0.94759,1.16129,0.76419,0.59434,0.67091,0.38733,1.33147,0.91689,1.22778,0.000713,0.000713,0.000713
15,4643.36,1.16131,0.92181,1.14872,0.7752,0.5788,0.66798,0.39085,1.30811,0.89776,1.2094,0.000614,0.000614,0.000614
16,4950.71,1.1418,0.90207,1.13825,0.77949,0.59859,0.68226,0.40242,1.28204,0.87489,1.19225,0.000515,0.000515,0.000515
17,5266.1,1.12283,0.87363,1.12765,0.77322,0.60164,0.68114,0.40295,1.27413,0.87379,1.18779,0.000416,0.000416,0.000416
18,5574.45,1.10365,0.85563,1.11683,0.78125,0.61144,0.69184,0.41465,1.25325,0.85166,1.17722,0.000317,0.000317,0.000317
19,5879.99,1.08196,0.83311,1.10475,0.78714,0.60779,0.69498,0.41854,1.24808,0.84421,1.16768,0.000218,0.000218,0.000218
20,6187.47,1.06496,0.81692,1.09938,0.77885,0.61707,0.6999,0.42161,1.23944,0.83992,1.16542,0.000119,0.000119,0.000119
